time,[raw] acc (e_r),[raw] acc (e_theta),[raw] acc (e_phi),[raw] w (e_r),[raw] w (e_theta),[raw] w (e_phi),[raw] euler (alpha),[raw] euler (beta),[raw] euler (gamma),delta time,acc (e_r),acc (e_theta),acc (e_phi),w (e_r),w (e_theta),w (e_phi),euler (alpha),euler (beta),euler (gamma),vel (e_r),vel (e_theta),vel (e_phi),vel (x),vel (y),vel (z),pos (x),pos (y),pos (z)
2.305,-1.392,-10.083,-10.504999999999999,-0.833185278317053,-0.16153022227207522,1.7112429717028803,0.7450810576763792,6.157696133961194,6.144606164571236,0.040000000000000036,-4.1845,-11.492999999999999,-12.4775,-0.09198757822636112,0.19600047499896323,0.2231316182212151,0.7914631825481285,6.159354196750589,6.141333672223747,8.18881825,6.663658624999998,-10.441341875000004,9.125524708229035,0.51747472129324,-11.702124997837888,4.606600486664564,2.2065039358183096,-7.631794997086934
2.344,5.6080000000000005,-8.753,-9.115,-1.136348969388468,-0.8945685081096937,1.5215256820110965,0.6796312107265919,6.190508323898688,6.179512749611123,0.0389999999999997,-1.8419999999999996,-10.983,-11.6275,-0.41949861236309705,-0.13207779114467091,0.9809972126684529,0.7611817200260269,6.163455720492776,6.148969487701223,8.071301500000002,6.225376625000002,-10.911389375,8.762045032174466,0.5611087323129027,-12.077721803574155,4.955408096602429,2.2275363131636294,-8.095502009714465
2.384,10.908,-3.463,-7.255,-0.8747241145145181,-1.041874296978015,1.6512036454342753,0.6218608124855797,6.2351887527497425,6.213372137099813,0.040000000000000036,2.428,-8.7855,-9.9425,-0.7148519550318375,-0.4920519493685014,1.4222164475726193,0.7120943348136864,6.183352473965511,6.167251811615863,8.083021500000003,5.830006625000001,-11.342789375,8.748316661514663,0.5574964568683147,-12.293869932330635,5.305615330476212,2.2499084169472536,-8.582933844432562
2.423,15.687999999999999,5.497,-7.5249999999999995,-0.6565579580152269,-0.5498659808408135,2.665763539618579,0.5356415474370597,6.270095337789629,6.239552075879728,0.039000000000000146,7.702999999999999,-4.2005,-8.6,-0.8752040800588166,-0.6619597520501493,1.8874339596917076,0.6455536570814027,6.213372137099813,6.194260781790475,8.280576000000003,5.576779625,-11.704368125000002,9.128726522794363,0.5733599392955835,-12.369246279994144,5.6542176725702396,2.27196011667245,-9.063864610572896
2.463,17.078,15.767000000000001,-3.415,-1.1920249725270873,-0.5563236990731926,4.356638518950685,0.39269908169872414,0.009773843811168246,6.274458660919614,0.040000000000000036,12.3205,2.262,-6.8275,-0.9649140036113252,-0.7606581212504288,2.548782846503659,0.5574581630869888,6.247187891357203,6.22672390587757,8.681046000000004,5.538009625,-12.012918125000002,9.857524985584815,0.8052354365111206,-12.3499436917348,6.033942702737823,2.299532024188584,-9.558248410007476
2.503,13.458,17.307000000000002,-2.855,-1.1920249725270873,-0.7942120761200196,4.252965961382222,0.21711895894809458,0.032812189937493394,0.04258603374866164,0.040000000000000036,14.282999999999998,8.777000000000001,-5.2625,-0.9788330043959799,-0.7355690132530102,3.2316429163464404,0.4418301001423645,6.278560184661801,6.26328855370685,9.213116000000005,5.758789625,-12.254718125000002,10.734018531741164,1.5108513747097425,-12.276866659756562,6.4457735730843435,2.3458537604130014,-10.050784617037303
2.543,15.668,20.357,-4.835,-0.9684482953466136,-1.1617784165900253,3.048688777506135,0.08395033702092725,0.06440264939859076,0.0916297857297023,0.040000000000000036,15.472999999999999,14.732000000000001,-4.6575,-1.0022640496040038,-0.7655450431560127,3.581014199364405,0.3073524812762014,0.023474678439323715,0.02046398547963344,9.808236000000004,6.228969625,-12.453118125000001,11.522301553916446,2.7197410771306045,-12.244234660853875,6.890899974797496,2.4304656094498083,-10.541206643449513
2.586,12.767999999999999,28.397000000000002,-5.395,-0.5790653392266786,-0.7179411878078675,2.9362895736777,6.2505476501672925,0.08726646259971647,0.1265363707695889,0.042999999999999705,14.743,20.457,-4.125,-0.9828908949068667,-0.8075638448977762,3.6486457078791856,0.16528268016386308,0.04856378643674222,0.0630063859969952,10.45788,6.9855331249999955,-12.641941875,12.064879234263584,4.399413692494816,-12.372043878465483,7.398024361743364,2.5835274369967536,-11.070456632044875
2.626,6.648000000000001,27.277,-3.165,-1.1386178974160608,0.06204645490839842,2.6493574446498322,6.150191218177619,0.07958701389094142,0.17453292519943295,0.040000000000000036,12.1355,23.334500000000002,-4.0625,-0.96953912612911,-0.6529713064023785,3.2218254393039722,0.03385938748869012,0.06601707895668552,0.10882127886184645,10.99545,7.861363124999996,-12.805691875,12.075540427144176,6.133243193884017,-12.776985035607295,7.880832754971519,2.7941805747243302,-11.57343721032633
2.665,3.9680000000000004,32.397,-3.935,-0.23104668637900933,-0.4833689363398296,3.028966556958599,6.033428691219198,0.06981317007977318,0.20176006153054452,0.039000000000000146,9.763000000000002,27.107,-4.3325,-0.7292945545920905,-0.575260521457331,2.9158255881980666,6.2003258009411555,0.07526732399225546,0.14861478580731716,11.422470750000002,8.844972375,-12.969394375000002,11.59632376506873,7.8560939334272195,-13.443162873679345,8.342434106719672,3.0669726487069005,-12.084730094557422
